Sample,X,Y,Z
537,-0.2472,0.9457,0.1359
538,0.4700,1.8516,-0.1762
539,0.3696,0.9788,-0.2078
540,-0.3382,0.4819,0.3016
541,-0.1482,0.1551,0.1697
542,0.0461,0.4678,-0.0038
543,0.5180,1.7745,-0.1723
544,0.5161,1.6696,-0.1143
545,-0.2939,0.6843,0.0222
546,-0.6923,-0.0229,0.1075
547,-0.2239,0.8036,-0.1384
548,0.3649,1.9995,-0.2397
549,0.7734,1.5945,-0.0261
550,0.2414,0.3923,0.1459
551,-0.5287,-0.2246,-0.0247
552,-0.0821,0.6424,-0.2927
553,0.0666,1.7971,-0.4122
554,0.1965,1.6110,-0.0728
555,0.2441,0.8625,0.1699
556,-0.3043,0.4594,0.0454
557,-0.0928,0.9991,-0.0986
558,0.2757,1.8959,-0.2256
559,0.3500,1.5730,0.0195
560,-0.0833,0.6138,0.1984
561,-0.1180,0.4606,0.2410
562,-0.3730,0.4428,0.1390
563,-0.1924,1.0661,0.0101
564,0.4616,1.8465,0.0541
565,0.1684,1.1968,0.1248
566,-0.3834,0.1354,0.0414
567,-0.0891,-0.1077,0.1018
568,0.1668,0.9616,-0.1902
569,0.8372,1.8163,-0.2944
570,0.5419,1.4801,-0.0688
571,-0.8223,-0.0320,-0.1135
572,-0.8041,-0.2412,0.1139
573,-0.3521,1.4330,-0.2784
574,0.5102,1.9995,-0.3616
575,0.8611,1.3867,0.1013
576,-0.0012,0.3165,0.1868
577,-0.2412,-0.0031,-0.0392
578,0.1732,1.5170,-0.2114
579,0.3387,1.8214,-0.2050
580,0.1453,1.0795,0.1749
581,-0.1234,0.3267,0.2124
582,-0.3832,0.3162,0.0568
583,-0.3918,0.9190,-0.0203
584,0.3147,1.8890,-0.2806
585,0.0822,1.3694,-0.1307
586,0.1063,0.3895,0.1397
587,0.0684,0.3813,0.0319
588,-0.1355,0.6774,0.0073
589,0.1819,1.5978,-0.0192
590,0.4208,1.8558,0.0777
591,0.1265,1.0164,0.0634
592,-0.5704,0.0827,0.0843
593,-0.2717,0.4116,0.0304
594,0.3301,1.2006,-0.4045
595,0.7160,1.7295,-0.1780
596,0.0293,0.6868,0.0080
597,-0.7747,-0.0074,0.2772
598,-0.4722,1.1913,-0.1194
599,0.3034,1.9282,-0.3081
600,0.6681,1.5249,-0.0059
601,0.4771,0.4991,0.1970
602,-0.1234,0.4215,0.1787
603,0.0244,0.8223,-0.2085
604,0.2103,1.4777,-0.3776
605,-0.1323,1.1729,-0.1157
606,-0.4697,0.4255,0.1476
607,-0.1406,0.3461,0.0626
608,-0.3459,0.7751,-0.0893
609,0.2446,1.8431,-0.1676
610,0.5788,1.3633,0.0238
611,0.0953,0.9161,0.2012
612,0.2073,0.5236,0.1267
613,-0.4661,0.4918,-0.0807
614,-0.0881,1.1222,0.1385
615,0.6362,1.5742,-0.0195
616,0.1619,0.6926,-0.1092
617,-0.2064,0.4799,0.2413
618,-0.5641,0.8618,-0.0819
619,-0.2286,1.3122,-0.3560
620,0.4795,1.6790,-0.2002
621,0.5117,0.9307,0.0784
622,0.1316,0.4734,0.2129
