Sample,X,Y,Z
727,-0.1270,0.6170,0.0133
728,-0.1581,0.7920,-0.1151
729,-0.0297,1.2565,-0.1838
730,0.0963,1.4116,0.0369
731,0.2527,1.0504,0.1348
732,-0.0310,0.6431,0.0199
733,-0.2476,0.7109,-0.1054
734,-0.0366,0.9944,-0.2551
735,0.2482,1.4518,-0.0911
736,0.4041,1.2974,0.0778
737,-0.1951,0.6672,0.0640
738,-0.3511,0.6096,0.0858
739,0.0197,0.9270,-0.1169
740,0.3116,1.3304,0.0208
741,0.3559,1.3852,0.0661
742,-0.1590,0.5834,0.0646
743,-0.4493,0.5004,0.0415
744,0.1406,0.9333,0.0615
745,0.2722,1.3471,0.0229
746,-0.1686,1.2242,0.0370
747,0.0470,0.8353,-0.0550
748,-0.0945,0.6948,-0.0815
749,-0.1246,0.7999,-0.0380
750,-0.0234,0.9932,-0.0930
751,0.3018,1.3141,-0.0911
752,0.3671,1.1897,-0.0903
753,-0.1979,0.7899,-0.1122
754,-0.2650,0.7148,-0.0716
755,0.2472,1.3250,-0.0205
756,0.4225,1.5322,0.0366
757,0.3239,0.9109,0.0636
758,-0.2737,0.5149,0.0323
759,-0.3445,0.4003,0.0427
760,-0.0488,1.1133,0.0203
761,0.0892,1.7106,-0.1201
762,0.2590,0.9957,-0.0732
763,-0.0331,0.5992,0.1920
764,-0.0508,0.5559,-0.0026
765,0.1016,0.8787,-0.3329
766,0.1995,1.7024,-0.2343
767,0.3381,1.0928,0.0097
768,-0.2290,0.5877,-0.0222
769,-0.3248,0.7402,0.0181
